student_id ACIT1420 ACIT1515 ACIT1620 ACIT1630 COMM1116 MATH1310 ORGB1100
A00324108 52 78 53 64 58 57 64
A00267578 86 75 45 48 98 74 82
A00509069 72 53 76 69 88 86 52
A00185808 67 81 49 61 53 72 74
A00439211 86 94 74 82 87 82 52
A00590036 70 47 82 70 90 53 76
A00602876 90 89 53 97 54 89 78
A00451738 48 63 50 59 87 71 65
A00771007 50 61 83 80 75 76 79
A00943935 83 66 54 101 60 87 60
A00925416 52 51 83 80 50 84 79
A00308144 81 65 56 91 72 60 73
A00703154 53 84 67 68 94 76 79
A00465186 95 46 79 71 62 49 92
A00601842 97 82 97 73 100 67 99
A00758971 63 52 56 68 82 62 84
A00834192 52 84 65 77 47 98 62
A00527669 82 93 74 61 93 61 91
A00946319 100 98 93 48 86 66 82
A00312395 45 99 92 93 80 56 89
A00221292 47 91 46 73 100 59 53
A00803656 62 81 79 84 71 72 65
A00931398 90 67 63 99 83 54 75
A00210137 46 69 56 84 57 55 97
A00423058 99 91 91 63 94 84 88
A00130020 68 56 93 84 56 48 85
A00766064 68 46 75 58 73 98 77
A00445416 75 68 58 98 96 45 70
A00895591 76 63 50 83 56 52 78
A00063569 87 72 95 68 60 57 101
A00409560 88 99 54 48 47 90 90
A00880296 50 94 70 73 54 58 77
A00286850 75 97 73 80 77 92 100
A00960867 53 46 75 86 64 49 64
A00428357 53 70 93 60 66 76 48
A00850399 94 60 48 101 72 72 71
A00943367 45 51 86 94 95 52 60
A00526549 93 62 101 97 71 80 66
A00989640 98 60 83 57 60 50 88
A00631188 101 73 101 94 97 54 89
A00406176 84 88 77 75 65 84 98
A00394127 92 92 71 89 50 96 70
A00249805 88 51 84 101 92 98 82
A00160322 69 58 96 71 100 85 47
A00410027 82 46 100 89 66 63 57
A00816385 61 51 97 92 80 96 87
A00669478 88 60 78 51 72 100 92
A00301541 68 80 72 53 88 81 101
A00423734 81 78 80 70 63 56 70
A00358670 80 60 56 98 53 67 72
A00644444 81 81 49 57 75 51 80
A00609939 61 77 61 92 72 53 50
A00293220 64 51 60 89 85 66 80
A00150430 67 51 96 87 50 70 64
A00721037 65 80 95 62 98 93 86
A00058160 45 60 92 58 72 51 93
A00407552 80 79 59 50 68 91 57
A00686406 74 83 53 54 62 91 67
A00945082 88 67 83 86 59 72 87
A00567355 49 97 81 77 99 98 62
A00707106 60 74 71 46 100 74 80
A00562796 56 78 61 77 45 65 88
A00791405 95 59 69 51 80 87 82
A00704412 49 75 61 70 65 99 84
A00493950 92 72 47 58 74 68 45
A00321029 72 76 60 79 78 54 51
A00180087 88 57 69 85 84 91 80
A00798984 74 48 57 54 50 50 86
A00299792 79 85 47 87 62 60 45
A00530273 97 56 59 49 71 66 49
A00546405 72 94 83 53 80 84 63
A00451251 76 69 66 58 82 61 77
A00470499 69 80 49 75 58 100 69
A00279480 92 91 47 99 77 59 99
A00152653 91 80 45 57 52 73 63
